,SMILES,y_pred,y_prob,status,Unfaith
0,CCC(=O)OC1(c2ccccc2)CCN(C)CC1CC,1,0.9952055215835571,BBB+,0.0
1,Cc1nc(Nc2ccc(F)cc2)nc(N2CCc3ccccc3[C@@H]2C)c1C,1,0.9969446063041687,BBB+,0.0
2,O=c1[nH]c2ccccc2n1CCCN1CCC(Nn2c(=O)[nH]c3cc(Cl)ccc32)CC1,1,0.9950178265571594,BBB+,0.0
3,CNCCC=C1c2ccccc2[C@H]2C[C@H]2c2ccccc21,1,0.9987183809280396,BBB+,0.0
4,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,1,0.9977709054946899,BBB+,0.0
5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccccc1)C(=O)CO,1,0.99998939037323,BBB+,0.0
6,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,1,0.9999516010284424,BBB+,0.0
7,Cc1oc(=O)oc1COC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0,0.00011679743329295889,BBB-,0.0
8,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1C[C@H](O)CO,1,0.9999362230300903,BBB+,0.0
9,COc1ccc2c3c1O[C@H]1[C@H](O)C=C[C@H]4[C@@H](C2)NCC[C@]341,1,0.996733546257019,BBB+,0.0
